ctry;fh09;polity09;gini;fparl08;mena;lati;cari;east;sovi;afri;corr0509
Uruguay;0.01 ;0.10 ;0.47 ;0.51 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
Uzbekistan;0.07 ;(0.09);0.37 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Vanuatu;0.02 ;;;0.48 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
"Venezuela, RB";0.05 ;(0.03);0.43 ;0.49 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Vietnam;0.06 ;(0.07);0.38 ;0.51 ;0.00 ;0.00 ;0.00 ;0.01 ;0.00 ;0.00 ;(0.01)
Virgin Islands (U.S.);;;;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 
West Bank and Gaza;;;;0.49 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
"Yemen, Rep.";0.06 ;(0.02);0.38 ;0.50 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.01)
Zambia;0.04 ;0.07 ;0.51 ;0.50 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
Zimbabwe;0.06 ;0.01 ;0.50 ;0.51 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.01 ;(0.01)
;;;;;;;;;;;
Count (non-blank cells);1.91 ;1.59 ;1.46 ;1.91 ;2.13 ;2.13 ;2.13 ;2.13 ;2.13 ;2.13 ;2.03 
Mean;0.03 ;0.04 ;0.41 ;0.50 ;0.19 ;0.20 ;0.18 ;0.17 ;0.14 ;0.48 ;(0.00)
Standard Deviation;0.02 ;0.06 ;0.09 ;0.02 ;;;;;;;0.01 
;;;;;;;;;;;
Mean of 19 MENA countries;0.05 ;(0.03);0.38 ;0.47 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Mean of 20 LATI countries;0.03 ;0.07 ;0.52 ;0.50 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Median of 19 MENA countries;0.06 ;(0.06);0.38 ;0.49 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
Median of 20 LATI countries;0.03 ;0.08 ;0.52 ;0.50 ;0.00 ;0.01 ;0.00 ;0.00 ;0.00 ;0.00 ;(0.00)
