ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,corr_round,fh_status
Guyana,2.5,6.0,43.2,50.56,0.0,0.0,1.0,0.0,0.0,0.0,-0.58,-0.58,Free
Hungary,1.0,10.0,30.0,51.92,0.0,0.0,0.0,0.0,1.0,0.0,0.58,0.58,Free
Iceland,1.0,,,49.62,0.0,0.0,0.0,0.0,0.0,0.0,2.21,2.21,Free
India,2.5,9.0,36.8,48.02,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,-0.34,Free
Indonesia,2.5,8.0,37.6,49.97,0.0,0.0,0.0,1.0,0.0,0.0,-0.7,-0.7,Free
Ireland,1.0,10.0,34.3,49.95,0.0,0.0,0.0,0.0,0.0,0.0,1.69,1.69,Free
Israel,1.5,10.0,39.2,50.08,1.0,0.0,0.0,0.0,0.0,0.0,0.89,0.89,Free
Italy,1.5,10.0,36.0,51.51,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,Free
Jamaica,2.5,9.0,45.5,51.07,0.0,0.0,1.0,0.0,0.0,0.0,-0.41,-0.41,Free
Japan,1.5,10.0,24.9,50.95,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.29,Free
Kiribati,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,Free
"Korea, Rep.",1.5,8.0,31.6,49.99,0.0,0.0,0.0,1.0,0.0,0.0,0.53,0.53,Free
Latvia,1.5,8.0,36.3,54.16,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,Free
Liechtenstein,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,Free
Lithuania,1.0,10.0,35.8,53.11,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,Free
Luxembourg,1.0,,,50.85,0.0,0.0,0.0,0.0,0.0,0.0,1.89,1.89,Free
Mali,2.5,7.0,39.0,50.03,0.0,0.0,0.0,0.0,0.0,1.0,-0.47,-0.47,Free
Malta,1.0,,,51.03,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.97,Free
Marshall Islands,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.49,-0.49,Free
Mauritius,1.5,10.0,,50.28,0.0,0.0,0.0,0.0,0.0,1.0,0.53,0.53,Free
Mexico,2.5,8.0,51.6,50.33,0.0,1.0,0.0,0.0,0.0,0.0,-0.25,-0.25,Free
"Micronesia, Fed. Sts.",1.0,,,48.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,-0.31,Free
Monaco,1.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,Free
Mongolia,2.0,10.0,36.6,50.18,0.0,0.0,0.0,1.0,0.0,0.0,-0.62,-0.62,Free
Montenegro,2.5,,36.9,50.55,0.0,0.0,0.0,0.0,1.0,0.0,-0.33,-0.33,Free
Namibia,2.0,6.0,74.3,50.96,0.0,0.0,0.0,0.0,0.0,1.0,0.28,0.28,Free
Netherlands,1.0,10.0,30.9,50.38,0.0,0.0,0.0,0.0,0.0,0.0,2.06,2.06,Free
New Zealand,1.0,10.0,36.2,50.34,0.0,0.0,0.0,0.0,0.0,0.0,2.28,2.28,Free
Norway,1.0,10.0,25.8,50.4,0.0,0.0,0.0,0.0,0.0,0.0,1.95,1.95,Free
Palau,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-0.36,Free
Panama,1.5,9.0,54.9,49.26,0.0,1.0,0.0,0.0,0.0,0.0,-0.31,-0.31,Free
Peru,2.5,9.0,50.5,49.72,0.0,1.0,0.0,0.0,0.0,0.0,-0.31,-0.31,Free
